"File","Name","Hits","ExternalHits"
".\backend\src\cats\cats.module.ts","cats.module","10","7"
".\backend\src\cats\cats.service.spec.ts","cats.service.spec","4","1"
".\backend\src\cats\cats.service.ts","cats.service","20","17"
".\backend\src\cats\public-cats.controller.spec.ts","public-cats.controller.spec","4","1"
".\backend\src\cats\public-cats.controller.ts","public-cats.controller","14","11"
".\backend\src\checklists\checklists.controller.spec.ts","checklists.controller.spec","8","5"
".\backend\src\checklists\checklists.controller.ts","checklists.controller","29","26"
".\backend\src\checklists\checklists.module.spec.ts","checklists.module.spec","4","1"
".\backend\src\checklists\checklists.module.ts","checklists.module","16","13"
".\backend\src\checklists\checklists.service.spec.ts","checklists.service.spec","137","134"
".\backend\src\checklists\checklists.service.ts","checklists.service","156","153"
".\backend\src\checklists\public-checklists.controller.spec.ts","public-checklists.controller.spec","4","1"
".\backend\src\checklists\public-checklists.controller.ts","public-checklists.controller","14","11"
".\backend\src\common\catalog-query-hardening.spec.ts","catalog-query-hardening.spec","4","1"
".\backend\src\common\catalog-write-dto-hardening.spec.ts","catalog-write-dto-hardening.spec","4","1"
".\backend\src\common\common.module.ts","common.module","41","38"
".\backend\src\common\domain-list-query-hardening.spec.ts","domain-list-query-hardening.spec","4","1"
".\backend\src\companies\companies.controller.spec.ts","companies.controller.spec","4","1"
".\backend\src\companies\companies.controller.ts","companies.controller","14","11"
".\backend\src\companies\companies.module.ts","companies.module","12","9"
".\backend\src\companies\companies.service.spec.ts","companies.service.spec","5","2"
".\backend\src\companies\companies.service.ts","companies.service","26","23"
".\backend\src\config\modules.config.ts","modules.config","12","9"
".\backend\src\consents\consent.guard.ts","consent.guard","26","23"
".\backend\src\consents\consents.controller.spec.ts","consents.controller.spec","4","1"
".\backend\src\consents\consents.controller.ts","consents.controller","14","11"
".\backend\src\consents\consents.module.ts","consents.module","12","9"
".\backend\src\consents\consents.seeder.ts","consents.seeder","14","11"
".\backend\src\consents\consents.service.ts","consents.service","21","18"
".\backend\src\contracts\contracts.module.ts","contracts.module","9","6"
".\backend\src\corrective-actions\corrective-actions.controller.ts","corrective-actions.controller","10","7"
".\backend\src\corrective-actions\corrective-actions.module.ts","corrective-actions.module","9","6"
".\backend\src\corrective-actions\corrective-actions.service.spec.ts","corrective-actions.service.spec","67","64"
".\backend\src\corrective-actions\corrective-actions.service.ts","corrective-actions.service","79","76"
".\backend\src\corrective-actions\sla-escalation.processor.ts","sla-escalation.processor","9","6"
".\backend\src\dashboard\dashboard.controller.spec.ts","dashboard.controller.spec","4","1"
".\backend\src\dashboard\dashboard.controller.ts","dashboard.controller","15","12"
".\backend\src\dashboard\dashboard.module.ts","dashboard.module","10","7"
".\backend\src\dashboard\dashboard.service.ts","dashboard.service","16","13"
".\backend\src\dashboard\dashboard.worker.module.ts","dashboard.worker.module","9","6"
".\backend\src\dashboard\dashboard-cache-orchestration.spec.ts","dashboard-cache-orchestration.spec","4","1"
".\backend\src\dashboard\dashboard-document-availability-refresh.scheduler.ts","dashboard-document-availability-refresh.scheduler","9","6"
".\backend\src\dashboard\dashboard-document-availability-snapshot.service.spec.ts","dashboard-document-availability-snapshot.service.spec","115","112"
".\backend\src\dashboard\dashboard-document-availability-snapshot.service.ts","dashboard-document-availability-snapshot.service","128","125"
".\backend\src\dashboard\dashboard-document-availability-warmup.service.spec.ts","dashboard-document-availability-warmup.service.spec","4","1"
".\backend\src\dashboard\dashboard-document-availability-warmup.service.ts","dashboard-document-availability-warmup.service","15","12"
".\backend\src\dashboard\dashboard-document-pendencies.classifier.spec.ts","dashboard-document-pendencies.classifier.spec","4","1"
".\backend\src\dashboard\dashboard-document-pendencies.classifier.ts","dashboard-document-pendencies.classifier","17","14"
".\backend\src\dashboard\dashboard-document-pendencies.service.spec.ts","dashboard-document-pendencies.service.spec","4","1"
".\backend\src\dashboard\dashboard-document-pendencies.service.ts","dashboard-document-pendencies.service","21","18"
".\backend\src\dashboard\dashboard-document-pendency.types.ts","dashboard-document-pendency.types","11","8"
".\backend\src\dashboard\dashboard-document-pendency-operations.service.spec.ts","dashboard-document-pendency-operations.service.spec","4","1"
".\backend\src\dashboard\dashboard-document-pendency-operations.service.ts","dashboard-document-pendency-operations.service","18","15"
".\backend\src\dashboard\dashboard-operational-notifier.service.ts","dashboard-operational-notifier.service","12","9"
".\backend\src\dashboard\dashboard-optimization.smoke-spec.ts","dashboard-optimization.smoke-spec","25","22"
".\backend\src\dashboard\dashboard-pending-queue.service.spec.ts","dashboard-pending-queue.service.spec","25","22"
".\backend\src\dashboard\dashboard-pending-queue.service.ts","dashboard-pending-queue.service","39","36"
".\backend\src\dashboard\dashboard-query.types.ts","dashboard-query.types","13","10"
".\backend\src\dashboard\dashboard-query-snapshot.service.spec.ts","dashboard-query-snapshot.service.spec","4","1"
".\backend\src\dashboard\dashboard-query-snapshot.service.ts","dashboard-query-snapshot.service","17","14"
".\backend\src\dashboard\dashboard-revalidate.processor.ts","dashboard-revalidate.processor","9","6"
".\backend\src\dds\dds.controller.spec.ts","dds.controller.spec","6","3"
".\backend\src\dds\dds.controller.ts","dds.controller","18","15"
".\backend\src\dds\dds.module.ts","dds.module","13","10"
".\backend\src\dds\dds.service.pagination.spec.ts","dds.service.pagination.spec","4","1"
".\backend\src\dds\dds.service.spec.ts","dds.service.spec","59","56"
".\backend\src\dds\dds.service.ts","dds.service","87","84"
".\backend\src\dds\dds-approval.service.spec.ts","dds-approval.service.spec","4","1"
".\backend\src\dds\dds-approval.service.ts","dds-approval.service","16","13"
".\backend\src\dds\dds-observability.service.spec.ts","dds-observability.service.spec","4","1"
